Date,Close,High,Low,Open,Volume
2022-08-31,3567.091064453125,3567.091064453125,3405.866609562588,3426.019666423905,151631600
2022-09-01,3597.32080078125,3607.397329634979,3496.55551224396,3567.091214220063,120967800
2022-09-02,3567.091064453125,3627.550235037076,3516.7084222998324,3617.4737066064176,90044600
2022-09-05,3607.397216796875,3627.5502738739524,3546.9380455656424,3567.0911026427198,60491000
2022-09-06,3557.0146484375,3627.550349681303,3546.9381196883855,3617.4738209321886,65296200
2022-09-07,3577.16748046875,3577.16748046875,3516.708311784771,3536.861368012764,97771400
2022-09-08,3607.397216796875,3667.856388028107,3557.014574104181,3587.244159719797,96931000
2022-09-09,3657.77978515625,3667.8563134900137,3607.397143487431,3657.7797851562495,128510800
2022-09-12,3698.086181640625,3708.162710745913,3657.7800652194737,3688.0096525353374,110819000
2022-09-13,3808.927978515625,3829.081036603009,3718.239217122396,3728.315746166088,185487800
2022-09-14,3748.468505859375,3788.774618825605,3708.1623928931454,3738.3919776178177,119631200
2022-09-15,3768.62158203125,3829.080751796457,3748.4685254428477,3788.7746386196527,156750600
2022-09-16,3667.8564453125,3748.4686748798076,3637.6268592247598,3738.392146183894,167812600
2022-09-19,3718.2392578125,3748.4688452743903,3688.0096703506097,3728.3157869664637,137396600
2022-09-20,3708.162841796875,3778.6985480267067,3708.162841796875,3758.5454891038976,140752200
2022-09-21,3738.39208984375,3738.39208984375,3667.8563900353774,3688.009447123484,71044400
2022-09-22,3708.162841796875,3748.4689596424932,3698.08631233547,3738.3924301810885,96479200
2022-09-23,3708.162841796875,3728.315900719684,3688.009782874066,3708.162841796875,61877000
2022-09-26,3728.31591796875,3778.6985655088683,3607.3975638724664,3677.9332704286317,133769600
2022-09-27,3768.62158203125,3768.62158203125,3708.162412266043,3728.3154688544455,130959400
2022-09-28,3748.468505859375,3869.386844758065,3738.3919776178177,3808.9276753087197,133085000
2022-09-29,3728.31591796875,3778.6985655088683,3708.1628589527027,3768.6220360008447,67945200
2022-09-30,3798.851318359375,3798.851318359375,3718.2390887920674,3748.4686748798076,113501000
2022-10-03,3738.39208984375,3778.6982040199628,3718.2390327556436,3758.5451469318564,54662400
2022-10-04,3718.2392578125,3778.6984327362807,3718.2392578125,3748.4688452743903,90247000
2022-10-05,3738.39208984375,3819.004318196176,3738.39208984375,3748.468618387803,75891600
2022-10-06,3758.544921875,3758.544921875,3718.2388101122656,3748.4683939343167,43279200
2022-10-07,3798.851318359375,3798.851318359375,3738.392146183894,3758.545203575721,51267000
2022-10-10,3748.468505859375,3788.774618825605,3738.3919776178177,3778.6980905840473,55465000
2022-10-11,3748.468505859375,3798.8511470671624,3728.3154493762604,3798.8511470671624,71925600
2022-10-12,3798.851318359375,3829.0809044471152,3748.4686748798076,3778.698260967548,118731400
2022-10-13,3819.004150390625,3849.2337346945087,3758.544981782858,3829.0806784919196,58832000
2022-10-14,3788.774658203125,3889.5399416659743,3778.6981298568403,3889.5399416659743,106401600
2022-10-17,3808.927978515625,3819.004507559317,3748.468804253472,3808.927978515625,60905200
2022-10-18,3829.081298828125,3859.3108880294,3808.9282393606086,3829.0812988281255,67904400
2022-10-19,3819.004150390625,3859.3102627958033,3758.544981782858,3778.698037985447,71544800
2022-10-20,3990.305908203125,4000.3824382743446,3768.6222466362847,3768.6222466362847,102422400
2022-10-21,4171.6826171875,4211.988729430857,4000.381640153231,4030.611224335749,183987800
2022-10-24,4131.376953125,4232.142244664634,4131.376953125,4161.60654058689,102168000
2022-10-25,4121.30029296875,4211.989052471729,4121.30029296875,4141.4533506360785,83305200
2022-10-26,4111.22314453125,4131.3761991613055,4030.6109260110297,4121.299671846277,80531400
2022-10-27,4111.22314453125,4161.605781106388,4050.763980641085,4111.22314453125,84531200
2022-10-28,4111.22314453125,4121.299671846277,4070.91703527114,4080.9935625861676,102437400
2022-10-31,4252.29541015625,4252.29541015625,4121.300527852859,4151.5301160767185,173874600
2022-11-01,4191.83642578125,4272.448664738582,4121.300716693585,4272.448664738582,111898000
